order_month,orders,revenue,on_time_rate,avg_delay_days_late,bad_review_rate
2016-09,3,267.36,0.0,36.0,1.0
2016-10,308,49507.66000000011,0.9924528301886792,9.5,0.2662337662337662
2016-12,1,10.9,1.0,,0.0
2017-01,789,120312.86999999975,0.9706666666666667,20.227272727272727,0.15462610899873258
2017-02,1733,247303.01999999676,0.970356926799758,20.79591836734694,0.1465666474321985
2017-03,2641,374344.29999999964,0.9544383346425765,25.43103448275862,0.13706929193487316
2017-04,2391,359927.23,0.934433347807208,12.33774834437086,0.15558343789209536
2017-05,3660,506071.14000000653,0.970098730606488,12.537735849056604,0.126775956284153
2017-06,3217,433038.6000000028,0.9696969696969697,14.263157894736842,0.12713708423997513
2017-07,3969,498031.4800000058,0.9721074380165289,11.685185185185185,0.11740992693373646
2017-08,4293,573971.6800000105,0.9709038874314333,8.78688524590164,0.11297460982995575
2017-09,4243,624401.6900000108,0.9561445783132531,9.37912087912088,0.12184774923403252
2017-10,4568,664219.4300000109,0.9582402858418937,9.235294117647058,0.12675131348511384
2017-11,7451,1010271.3700000292,0.8759604829857299,11.178097345132743,0.1841363575359012
2017-12,5624,743914.1700000148,0.9254489388717576,9.734793187347933,0.1642958748221906
2018-01,7220,950030.3600000306,0.9429905219974537,11.88089330024814,0.1562326869806094
2018-02,6694,844178.7100000276,0.8587337909992372,12.577753779697623,0.21138332835374962
2018-03,7188,983213.440000027,0.8103669855776096,10.016566265060241,0.23191430161380078
2018-04,6934,996647.7500000251,0.9549867608120035,10.395424836601308,0.13296798384770694
2018-05,6853,996517.6800000255,0.9343606460216328,7.1038374717832955,0.1198015467678389
2018-06,6160,865124.3100000184,0.9883530183727034,13.352112676056338,0.10876623376623376
2018-07,6273,895507.2200000185,0.9662118258609487,8.423076923076923,0.11302407141718476
2018-08,6452,854686.3300000224,0.9381199811053378,4.419847328244275,0.10678859268443894
2018-09,1,145.0,,,1.0
